SchemaIdentifier,SchemaMajorVersion,SchemaMajorVersionDate,SchemaLabel,SchemaDescription,SchemaTemplateId,SchemaMinorVersions,SchemaMinorVersionDates,SchemaMinorVersionDescriptions,SchemaRequirementIdentifier,SchemaRequirementOrder,SchemaRequirementLabel,SchemaRequirementMandatory,SchemaRequirementDescription,SchemaRequirementMinOccurances,SchemaRequirementMaxOccurances,SchemaRequirementNote,SchemaRequirementFieldIdentifier,SchemaRequirementFieldOrder,SchemaRequirementFieldDescription,SchemaRequirementFieldMandatory,SchemaRequirementFieldMinOccurances,SchemaRequirementFieldMaxOccurances,SchemaRequirementFieldHelp,FieldIdentifier,FieldLabel,FieldType,FieldDescription,FieldPattern,FieldURIStubs
"CombinedServiceSchema","1","02/03/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","02/03/2020","First formal release","location","1","Location","True","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","1","","id","1","Each location must have a unique identifier","False","0","1","","id","id","String","Each location must have a unique identifier","",""
"CombinedServiceSchema","1","02/03/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","02/03/2020","First formal release","location","1","Location","True","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","1","","name","2","The name of the location","False","0","1","","name","name","String","The name of the location","",""
"CombinedServiceSchema","1","02/03/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","02/03/2020","First formal release","location","1","Location","True","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","1","","description","3","A description of this location.","False","0","1","","description","description","String","A description of this location.","",""
"CombinedServiceSchema","1","02/03/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","02/03/2020","First formal release","location","1","Location","True","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","1","","latitude","4","Y coordinate of location expressed in decimal degrees in WGS84 datum.","False","0","1","","latitude","latitude","Number","Y coordinate of location expressed in decimal degrees in WGS84 datum.","",""
"CombinedServiceSchema","1","02/03/2020","Combined Service Schema","CSV definition of the structure of CSV schemas!","Plain","0","02/03/2020","First formal release","location","1","Location","True","Field, from pool of fields, used to meet the schema field requirements.  That is, as standard property which is re-used across schema requirements","0","1","","longitude","5","X coordinate of location expressed in decimal degrees in WGS84 datum.","False","0","1","","longitude","longitude","Number","X coordinate of location expressed in decimal degrees in WGS84 datum.","",""
